,id,name,current_price,tag,tag_updated_at
114,7323, Frijol colorado (454 g / 1 lb) ,3.42,frijoles,2024-12-21 20:08:33
115,7382, Frijol blanco (454 g / 1 lb) ,3.42,frijoles,2024-12-21 20:08:33
116,7405,Frijol negro (1 kg / 2.2 lb),3.4,frijoles,2024-12-21 20:08:33
117,7404, Frijol negro Rico Prato (1 kg / 2.2 lb) ,3.34,frijoles,2024-12-21 20:08:33
118,23457, Frijol negro (1 kg / 2.2 lb) ,3.34,frijoles,2024-12-21 20:08:33
119,20353,Frijol negro Prato (1 kg / 2.2 lb),3.32,frijoles,2024-12-21 20:08:33
120,24280,Frijoles Negros Goya (24oz),3.28,frijoles,2024-12-21 20:08:33
121,24740,Frijol Negro deCancio Foods (1kg),3.25,frijoles,2024-12-21 20:08:33
122,74493,Frijoles colorados antioque̱os con tocino San Jorge (300 g / 10.58 oz),3.15,frijoles,2024-12-21 20:08:33
123,7327, Frijol negro Verde Valle (1 kg / 2.2 lb) ,3.14,frijoles,2024-12-21 20:08:33
124,22309, Frijoles cargamanto rojo Dale (454 g / 1 lb) ,3.14,frijoles,2024-12-21 20:08:33
125,19257, Frijoles negros Dale (454 g / 1 lb) ,3.07,frijoles,2024-12-21 20:08:33
126,74395,Frijol colorado calidad extra Miau (500 g / 1.1 lb),3.07,frijoles,2024-12-21 20:08:33
127,74399,Frijol blanco calidad extra Miau (500 g / 1.1 lb),3.07,frijoles,2024-12-21 20:08:33
128,21018, Frijoles colorados Marcos (500 g / 1.10 lb) ,3.05,frijoles,2024-12-21 20:08:33
129,7389, Frijoles negros (454 g / 1 lb) ,3.01,frijoles,2024-12-21 20:08:33
130,7257,Frijol negro El Fresno (1 kg / 2.2 lb),2.99,frijoles,2024-12-21 20:08:33
131,7331, Frijoles negros limpios (680 g / 1.5 lb) ,2.99,frijoles,2024-12-21 20:08:33
132,17730, Frijoles negros Huerto San Genaro (500 g / 1.1 lb) ,2.99,frijoles,2024-12-21 20:08:33
133,18168, Frijoles colorados Huerto San Genaro (500 g / 1.1 lb) ,2.99,frijoles,2024-12-21 20:08:33
134,7392, Frijoles negros (453.5 g / 1 lb) ,2.97,frijoles,2024-12-21 20:08:33
135,7289, Frijol bayo (500 g / 1.10 lb) ,2.89,frijoles,2024-12-21 20:08:33
136,19526,Frijoles colorados Dale (454 g / 1 lb),2.89,frijoles,2024-12-21 20:08:33
137,7263,Frijoles blancos -Alubias- Marcos (500 g / 1.10 lb),2.88,frijoles,2024-12-21 20:08:33
